fixture_id,kind,path,sha256,purpose,expected_result,observed_result,primary_error_code,all_error_codes,contains_real_archival_data
negative_01_unknown_version.json,negative,tests/fixtures/power_relation_ontology/negative_01_unknown_version.json,3b65483a275060a81509e5f9e5bdfee195c7bc9f1dd432d412753382ba16742c,ontology_version=V3 (unsupported),FAIL,FAIL,UNKNOWN_ONTOLOGY_VERSION,UNKNOWN_ONTOLOGY_VERSION,NO
negative_02_missing_provenance.json,negative,tests/fixtures/power_relation_ontology/negative_02_missing_provenance.json,e1245fb3b1b360273d4f80ac194f442d5836357ba7ff51512be8aba04c2c9eb9,CommercialRight missing source_document_ids,FAIL,FAIL,MISSING_PROVENANCE,MISSING_PROVENANCE,NO
negative_03_invalid_reference.json,negative,tests/fixtures/power_relation_ontology/negative_03_invalid_reference.json,3ce9e7d81c4ba255cef8355af80fcd95048e5de2b1f37905e9bea8c2d0c7bb3d,RightModification.right_id references nonexistent CommercialRight,FAIL,FAIL,ORPHAN_RIGHT_MODIFICATION_REFERENCE,ORPHAN_RIGHT_MODIFICATION_REFERENCE,NO
negative_04_invalid_cardinality.json,negative,tests/fixtures/power_relation_ontology/negative_04_invalid_cardinality.json,adf5bbaa8f83c641c08d29fe9dba5b8e4771ccdcc8018f1848fce2b6c28570e5,explicit_non_identity_with as a scalar instead of a list,FAIL,FAIL,INVALID_NON_IDENTITY_CARDINALITY,INVALID_NON_IDENTITY_CARDINALITY,NO
negative_05_unapproved_relation_type.json,negative,tests/fixtures/power_relation_ontology/negative_05_unapproved_relation_type.json,42e9558766ae48c3888897e22ae06d8f19bcb1094bf66d9c4a263a7cfd1ee0b1,"relation_type=COMMANDS, outside the closed 16-value vocabulary",FAIL,FAIL,UNAPPROVED_RELATION_TYPE,UNAPPROVED_RELATION_TYPE,NO
negative_06_research_only_marked_public.json,negative,tests/fixtures/power_relation_ontology/negative_06_research_only_marked_public.json,1b04545a9b6c532830b3a36d3314c98ebc6312d4cf6cd8eeb72d97a195659a4f,CommercialRight.public_status=PUBLIC,FAIL,FAIL,RESEARCH_ONLY_BOUNDARY_VIOLATION,RESEARCH_ONLY_BOUNDARY_VIOLATION,NO
negative_07_research_only_marked_graphify.json,negative,tests/fixtures/power_relation_ontology/negative_07_research_only_marked_graphify.json,ab1b81a856cec77ada904b00ed675f1a365510dd30444a913dc3e88e613d9081,CommandObservation.public_status=GRAPHIFY_APPROVED,FAIL,FAIL,RESEARCH_ONLY_BOUNDARY_VIOLATION,RESEARCH_ONLY_BOUNDARY_VIOLATION,NO
negative_08_deferred_ch04.json,negative,tests/fixtures/power_relation_ontology/negative_08_deferred_ch04.json,350c70df455d3a5690f625885b8b31b8145849d0d0c0e87de7ed125877b55a13,"InstitutionalStateObservation (CH-04, deferred by DEC-05/06)",FAIL,FAIL,DEFERRED_STRUCTURE_NOT_AUTHORIZED,DEFERRED_STRUCTURE_NOT_AUTHORIZED,NO
negative_09_rejected_ch05.json,negative,tests/fixtures/power_relation_ontology/negative_09_rejected_ch05.json,18602efcd49a05a825d01b0caffd48dfa63991be11e615aa0f3059350d2e6c92,"Location.source_place_expression field (CH-05, rejected by DEC-07)",FAIL,FAIL,REJECTED_STRUCTURE_NOT_AUTHORIZED,REJECTED_STRUCTURE_NOT_AUTHORIZED,NO
negative_10_deferred_ch08.json,negative,tests/fixtures/power_relation_ontology/negative_10_deferred_ch08.json,465ddf88483b5739cb43e7f0de79f17747ae718a726971f9b9c63b4ce93fa20b,"DisputeSettlement entity (CH-08, deferred by DEC-11)",FAIL,FAIL,DEFERRED_STRUCTURE_NOT_AUTHORIZED,DEFERRED_STRUCTURE_NOT_AUTHORIZED,NO
negative_11_automatic_identity_merge.json,negative,tests/fixtures/power_relation_ontology/negative_11_automatic_identity_merge.json,045cf6ad431609057625fef3d329dec904036e51d38d368070768e90bd492ca9,"Asymmetric explicit_non_identity_with (A lists B, B silent)",FAIL,FAIL,INVALID_NON_IDENTITY_REFERENCE,INVALID_NON_IDENTITY_REFERENCE,NO
negative_12_unbounded_continuity.json,negative,tests/fixtures/power_relation_ontology/negative_12_unbounded_continuity.json,5b9fa184387e56afbd0a50b41c9fc55ef4619eace78a5d6bbf5784ec1e54550a,mandate_scope present but empty string,FAIL,FAIL,UNBOUNDED_MANDATE_FIELD,UNBOUNDED_MANDATE_FIELD,NO
negative_13_resistance_as_factual_edge.json,negative,tests/fixtures/power_relation_ontology/negative_13_resistance_as_factual_edge.json,41618077a6e89988ac83c6cd40ceac2f09894591e216bb89d4d997ef82059a86,resistance_candidate.public_status=FACTUAL_EDGE,FAIL,FAIL,RESEARCH_ONLY_BOUNDARY_VIOLATION,RESEARCH_ONLY_BOUNDARY_VIOLATION,NO
negative_14_patron_client_as_factual_edge.json,negative,tests/fixtures/power_relation_ontology/negative_14_patron_client_as_factual_edge.json,ad23c0b1cd1250f93f13bfb865346fa0bd010c11c19b78f0e0c3791b3fe0bb3c,"relation_type=PATRON_OF, outside the closed vocabulary",FAIL,FAIL,UNAPPROVED_RELATION_TYPE,UNAPPROVED_RELATION_TYPE,NO
negative_15_malformed_json.json,negative,tests/fixtures/power_relation_ontology/negative_15_malformed_json.json,a2178f3450f5d6713b9d28bb99878abfd37ce64fccc891c0695f438be1c31710,Syntactically invalid JSON (truncated),FAIL,FAIL,MALFORMED_JSON,MALFORMED_JSON,NO
negative_16_unknown_field_value.json,negative,tests/fixtures/power_relation_ontology/negative_16_unknown_field_value.json,ecc9944ce7ff48f6a2a9eae28ccd9cb4b399813672283edf0770523e2b979b9f,CommandObservation.coercion_status=MAYBE (not in enum),FAIL,FAIL,INVALID_COERCION_STATUS,INVALID_COERCION_STATUS,NO
negative_17_invalid_temporal_range.json,negative,tests/fixtures/power_relation_ontology/negative_17_invalid_temporal_range.json,cbfed5c5af033178c1604a5aef731346b4b8a5d18743b6774be131f88063b288,valid_from/valid_to present without date_precision,FAIL,FAIL,INVALID_TEMPORAL_RANGE,INVALID_TEMPORAL_RANGE,NO
negative_18_unauthorized_extra_field.json,negative,tests/fixtures/power_relation_ontology/negative_18_unauthorized_extra_field.json,d8234d6521fb401ed632b34fd6516f5ee7d43a00f223215d2b7af69f02d9ad9b,CommercialRight carries an unrecognized field (sovereignty_asserted),FAIL,FAIL,UNAUTHORIZED_EXTRA_FIELD,UNAUTHORIZED_EXTRA_FIELD,NO
positive_01_minimal_v2.json,positive,tests/fixtures/power_relation_ontology/positive_01_minimal_v2.json,2de747282fe045917b4303b2fc23ec2a27e899d8749280232c7ab57d32e2f198,"Minimal valid V2 artifact (Actor+Institution, one NEGOTIATES_WITH relation)",PASS,PASS,,,NO
positive_02_full_v2.json,positive,tests/fixtures/power_relation_ontology/positive_02_full_v2.json,626b9bbb88a159beba049164700640c799d1e00feef7927c90162c45aae1eec2,"Full valid V2 artifact incl. Location, CONTROLS_FORT, temporal fields, claim_or_effective_control",PASS,PASS,,,NO
positive_03_minimal_v2_1.json,positive,tests/fixtures/power_relation_ontology/positive_03_minimal_v2_1.json,b22bda9107df30e07e71f7a6b64ad05e7a3e501b2f10f56d53b617fc2789f97c,"Minimal valid V2.1 artifact, no new entities used",PASS,PASS,,,NO
positive_04_commercial_right.json,positive,tests/fixtures/power_relation_ontology/positive_04_commercial_right.json,6475e4543f02828b1673ae3daa0b41eb2708926fc1abc07c5af984ab7956acec,Valid CommercialRight entity (DEC-04),PASS,PASS,,,NO
